"district","rps01","rps02","rps03","rps04","rps05","rps06","rps07","rps08","rps09","rps10","rps11","rps12","rps13","rps14","rps15","rps16","rps17","rps18","rps19","rps20","rps21","rps22","rps23","rps24","rps25","rps26","rps27","rps28","rps29","rps30","rps31"
"三峽區","房地(土地+建物)+車位","新北市三峽區大學路１１３號十一樓之三","29.47","住","","","1111203","土地1建物1車位1","十一層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1060613","158.96","3","2","2","有","有","19500000","122672","坡道平面","35.98","0","","RPSPMLNLKIHGFIF68DA","71.63","7.3","5.24","有"
"三峽區","房地(土地+建物)","新北市三峽區竹崙路１４５號","30","","森林區","丙種建築用地","1111228","土地1建物1車位0","一層","三層","公寓(5樓含以下無電梯)","住商用","加強磚造","570720","29.92","4","2","3","有","無","1000000","33422","","0","0","壹樓防火巷外推親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；其他增建；未登記建物；","RPSNMLKKJHIGFIF08EA","29.92","0","0","無"
"三峽區","房地(土地+建物)","新北市三峽區復興路４５５號八樓之４","3.44","住","","","1111201","土地1建物1車位0","八層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","841013","38.65","1","0","1","有","有","4300000","111255","","0","0","","RPRPMLKKJHIGFIF18EA","25.92","0","6.05","有"
"三峽區","房地(土地+建物)","新北市三峽區愛國路２１０號五樓","9.31","商","","","1111218","土地1建物1車位0","五層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","970125","72.81","2","2","1","有","有","7550000","103695","","0","0","陽台外推；","RPWNMLKKJHIGFIF38DA","46.56","0","7.5","有"
"三峽區","房地(土地+建物)+車位","新北市三峽區弘園街５２號十三樓","31.5","住","","","1111206","土地2建物1車位1","十三層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1080912","187.83","3","2","2","有","有","12000000","63888","坡道平面","31.38","0","親友、員工、共有人或其他特殊關係間之交易；","RPUOMLKKJHIGFIF28DA","96.24","5.24","7.67","有"
"三峽區","房地(土地+建物)+車位","新北市三峽區學成路３２７號二樓之２","20.23","商","","","1111212","土地1建物1車位3","二層","二十八層","住宅大樓(11層含以上有電梯)","辦公用","鋼筋混凝土造","1010724","306.32","0","0","0","無","無","28850000","121090","坡道平面","115.14","5700000","","RPOOMLNKKIHGFIF08DA","98.28","3.49","0","有"
"三峽區","房地(土地+建物)","新北市三峽區大同路２７０巷２號七樓","22.17","住","","","1111226","土地1建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","830921","113.42","3","2","2","有","無","8000000","70534","","0","0","","RPTOMLKKJHIGFIF28EA","87.59","0.73","11.85","有"
"三峽區","土地","仁愛段660-2地號","104.16","農","","","1111206","土地1建物0車位0","","","其他","","","","0","0","0","0","有","無","3741427","35920","","0","0","政府機關標讓售；","RPOPMLKKJHIGFIF87EA","0","0","0","無"
"三峽區","房地(土地+建物)","新北市三峽區中正路一段２８８之２號六樓之一","11.14","住","","","1111215","土地1建物1車位0","六層","十七層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","811109","100.47","3","2","2","有","無","6750000","67184","","0","0","陽台外推；其他增建；","RPRPMLTJJHIGFIF88DA","84.55","0","10.73","有"
"三峽區","房地(土地+建物)","新北市三峽區民權街４０號五樓","25.51","都市：其他:歷史風貌特定專用區","","","1111217","土地2建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","770802","92.1","3","2","1","有","無","6500000","70575","","0","0","","RPUOMLLKJHIGFIF38DA","86.29","0","5.81","無"
